,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
135,Kloulklubed,75,PW,1566591944,83,7.04,134.26,82.4,9.17
136,Inongo,100,CD,1566591944,47,-1.93,18.29,83.05,1.83
137,Upernavik,0,GL,1566591888,53,72.79,-56.15,40.03,4.7
138,Saskylakh,100,RU,1566591834,77,71.97,114.09,50.83,3.94
139,Kaitangata,78,NZ,1566591882,72,-46.28,169.85,42.01,4.0
140,Samastipur,100,IN,1566591945,81,25.86,85.78,83.59,6.58
141,Riverton,1,US,1566591946,44,43.02,-108.38,75.99,5.82
142,Harper,40,US,1566591946,30,30.3,-99.24,98.01,8.05
143,Saldanha,0,PT,1566591857,29,41.42,-6.55,77.11,3.76
144,Darnah,0,LY,1566591730,84,32.77,22.64,77.83,15.32
145,Noumea,90,NC,1566591940,93,-22.28,166.46,69.01,2.24
146,Caconda,0,AO,1566591947,32,-13.73,15.06,59.29,5.57
147,Teknaf,100,BD,1566591878,81,20.86,92.31,82.87,14.34
148,Te Anau,87,NZ,1566591947,81,-45.41,167.72,40.93,7.36
149,Eureka,1,US,1566591947,60,40.8,-124.16,89.01,6.93
150,Sambava,99,MG,1566591948,88,-14.27,50.17,67.57,1.68
151,Menongue,0,AO,1566591948,37,-14.66,17.68,53.71,4.81
152,San Andres,100,PH,1566591948,85,13.32,122.68,79.45,14.23
153,Lagoa,0,PT,1566591889,69,37.14,-8.45,75.99,10.29
154,Golden,75,US,1566591949,32,39.76,-105.22,89.01,12.75
155,Can Tho,40,VN,1566591949,100,10.04,105.78,78.8,3.36
156,Thompson,90,CA,1566591776,82,55.74,-97.86,60.8,3.15
157,Moose Factory,90,CA,1566591949,82,51.26,-80.61,57.2,8.05
158,Calabozo,100,VE,1566591950,80,8.92,-67.43,83.59,2.77
159,Nuuk,40,GL,1566591713,66,64.17,-51.74,50.0,8.05
160,Klaksvik,100,FO,1566591822,87,62.23,-6.59,53.6,12.75
161,Caravelas,52,BR,1566591852,71,-17.73,-39.27,72.07,8.9
162,Plouzane,0,FR,1566591950,72,48.38,-4.62,71.6,5.82
163,Lujan,100,AR,1566591950,45,-46.57,-67.67,52.27,10.02
164,Cajuru,0,BR,1566591951,30,-21.27,-47.3,80.6,10.29
165,Brae,100,GB,1566591951,87,60.4,-1.35,59.0,17.22
166,Airai,40,TL,1566591951,86,-8.93,125.41,68.29,3.58
167,Los Lunas,1,US,1566591952,13,34.81,-106.76,93.99,8.05
168,Vestmannaeyjar,64,IS,1566591849,85,63.44,-20.27,52.09,17.36
169,Bafra,75,TR,1566591952,83,41.57,35.91,75.2,18.34
170,Provideniya,85,RU,1566591953,66,64.42,-173.23,49.93,8.7
171,Honiara,20,SB,1566591953,94,-9.43,159.96,75.2,5.64
172,Butaritari,87,KI,1566591834,70,3.07,172.79,84.13,7.78
173,Rawson,100,AR,1566591953,43,-43.3,-65.11,60.73,21.5
174,Maniitsoq,0,GL,1566591954,71,65.42,-52.9,45.25,11.18
175,Esperance,75,AU,1566591848,93,-33.86,121.89,46.4,12.86
176,Nanortalik,58,GL,1566591954,93,60.14,-45.24,38.95,2.35
177,Sitangkai,87,PH,1566591954,76,4.66,119.39,82.87,11.27
178,Dikson,100,RU,1566591881,92,73.51,80.55,40.57,23.58
179,Tiksi,100,RU,1566591955,99,71.64,128.87,46.69,3.11
180,Hambantota,100,LK,1566591955,79,6.12,81.12,80.53,19.28
181,Luderitz,0,NA,1566591955,51,-26.65,15.16,77.0,6.93
182,Umm Kaddadah,74,SD,1566591956,53,13.6,26.69,79.99,5.97
183,Grand Gaube,40,MU,1566591871,88,-20.01,57.66,68.0,3.36
184,Moron,95,HT,1566591956,74,18.56,-74.26,83.23,4.54
185,Yerofey Pavlovich,22,RU,1566591956,96,53.97,121.97,49.93,2.15
186,Tanout,55,NE,1566591957,44,14.97,8.88,88.27,6.04
187,Gamba,83,CN,1566591957,67,28.28,88.52,42.01,2.93
188,Mehamn,75,NO,1566591957,81,71.03,27.85,48.2,8.05
189,Norman Wells,90,CA,1566591834,66,65.28,-126.83,53.6,11.41
190,San Policarpo,100,PH,1566591958,76,12.18,125.51,79.63,6.26
191,Lasa,20,CY,1566591858,88,34.92,32.53,80.6,4.7
192,Port Macquarie,0,AU,1566591959,100,-31.43,152.91,41.0,5.82
193,Valparaiso,75,US,1566591694,44,41.47,-87.06,75.99,14.99
194,Avarua,0,CK,1566591600,69,-21.21,-159.78,78.8,16.11
195,Hilo,90,US,1566591838,70,19.71,-155.08,84.2,11.41
196,Vila do Maio,75,CV,1566591959,83,15.13,-23.22,77.0,11.41
197,Ilulissat,20,GL,1566591868,65,69.22,-51.1,46.4,4.7
198,Touros,0,BR,1566591960,61,-5.2,-35.46,80.6,8.05
199,Itarema,0,BR,1566591960,73,-2.92,-39.92,77.47,11.74
200,Svetlaya,100,RU,1566591960,97,46.54,138.33,48.49,4.03
201,Vaitape,0,PF,1566591961,73,-16.52,-151.75,78.19,10.78
202,Heihe,40,RU,1566591961,100,50.24,127.51,53.6,4.47
203,Fairbanks,90,US,1566591962,76,64.84,-147.72,53.6,2.84
204,Woodbury,40,US,1566591962,64,41.36,-74.11,75.99,2.46
205,Balkhash,0,KZ,1566591962,46,46.84,74.98,64.87,11.59
206,Berlevag,75,NO,1566591963,87,70.86,29.09,48.2,10.29
207,Sitka,100,US,1566591841,62,37.17,-99.65,84.99,21.0
208,Leningradskiy,81,RU,1566591964,81,69.38,178.42,40.39,3.33
209,Nome,75,US,1566591964,70,30.04,-94.42,89.6,6.93
210,San Vicente,20,EC,1566591964,78,-0.59,-80.41,77.0,12.75
211,Udachnyy,90,RU,1566591964,93,66.42,112.4,50.0,2.24
212,Killybegs,0,IE,1566591965,68,54.63,-8.45,66.2,13.87
213,Nicoya,20,CR,1566591721,49,10.15,-85.45,93.2,10.29
214,Pemba,75,MZ,1566591965,83,-12.97,40.52,77.0,19.46
215,Sao Geraldo do Araguaia,99,BR,1566591965,50,-6.4,-48.55,82.33,1.63
216,Jiaocheng,0,CN,1566591966,95,24.68,116.14,73.15,3.09
217,Simao,100,CN,1566591966,85,22.76,100.79,66.85,1.34
218,Maumere,28,ID,1566591966,73,-8.63,122.22,71.35,2.98
219,Winneba,90,GH,1566591967,88,5.35,-0.62,77.0,16.11
220,San Quintin,100,PH,1566591967,98,17.54,120.52,75.31,9.24
221,Mpika,29,ZM,1566591968,47,-11.84,31.4,60.91,10.45
222,Kondinskoye,0,RU,1566591968,89,59.65,67.41,53.89,12.71
223,Lompoc,40,US,1566591794,73,34.64,-120.46,75.2,9.17
224,Bambous Virieux,40,MU,1566591831,88,-20.34,57.76,68.0,3.36
225,Bereda,20,ES,1566591969,93,43.27,-7.54,70.0,4.7
226,Karratha,0,AU,1566591865,52,-20.74,116.85,67.03,12.28
227,Yuzhno-Kurilsk,100,RU,1566591969,98,44.03,145.86,61.99,4.5
228,Agustin Codazzi,20,CO,1566591683,50,10.03,-73.24,95.0,2.24
229,Cidreira,24,BR,1566591831,73,-30.17,-50.22,55.15,7.63
230,Telimele,100,GN,1566591970,99,10.9,-13.03,70.81,3.67
231,Port-Cartier,75,CA,1566591971,82,50.03,-66.88,62.01,2.24
232,Cururupu,0,BR,1566591971,92,-1.82,-44.87,75.31,1.25
233,Zyryanka,91,RU,1566591971,53,65.73,150.89,66.49,4.56
234,Le Mans,0,FR,1566591971,44,48.01,0.2,75.2,2.24
235,Colares,20,PT,1566591972,46,38.8,-9.45,77.0,21.92
236,Coihaique,90,CL,1566591972,66,-45.58,-72.07,50.0,6.93
237,Sechura,76,PE,1566591972,94,-5.56,-80.82,60.91,18.72
238,Rantepao,30,ID,1566591972,97,-2.97,119.9,56.41,3.02
239,Tipuani,100,BO,1566591973,75,-15.56,-68.02,53.89,3.24
240,Geraldton,40,CA,1566591973,52,49.72,-86.95,64.4,2.24
241,Naze,75,NG,1566591862,88,5.43,7.07,75.2,4.7
242,Shenkursk,65,RU,1566591973,85,62.11,42.91,50.11,4.38
243,Lakatoro,88,VU,1566591974,72,-16.11,167.42,74.05,21.47
244,Necochea,85,AR,1566591974,71,-38.55,-58.74,54.0,4.0
245,Atuona,0,PF,1566591822,76,-9.8,-139.03,78.73,17.83
246,Road Town,40,VG,1566591975,70,18.42,-64.62,87.8,10.29
247,Bilibino,85,RU,1566591975,48,68.06,166.44,53.35,5.57
248,Solnechnyy,100,RU,1566591975,99,50.72,136.64,52.63,2.8
249,Flinders,0,AU,1566591975,42,-34.58,150.85,53.01,14.99
250,Srednekolymsk,3,RU,1566591976,44,67.46,153.71,63.97,6.46
251,Bosaso,35,SO,1566591976,66,11.28,49.18,87.01,8.81
252,Skelleftea,98,SE,1566591976,100,64.75,20.95,53.6,6.93
253,Kysyl-Syr,0,RU,1566591977,95,63.9,122.77,50.29,1.48
254,Gornozavodsk,0,RU,1566591977,91,58.37,58.33,49.57,8.75
255,Linhares,92,BR,1566591978,86,-19.38,-40.06,66.85,4.41
256,Caucaia,0,BR,1566591978,65,-3.73,-38.66,82.4,16.11
257,Beaverlodge,75,CA,1566591978,63,55.21,-119.43,60.8,5.82
258,Haines Junction,100,CA,1566591979,69,60.75,-137.51,47.05,3.87
259,Monte Patria,100,CL,1566591979,19,-30.69,-70.96,76.57,7.36
260,Agadez,92,NE,1566591979,41,16.97,7.99,91.33,8.99
261,Santiago,100,PH,1566591702,94,16.69,121.54,73.15,2.91
262,Half Moon Bay,75,US,1566591974,77,37.46,-122.43,87.01,13.87
263,College,90,US,1566591980,76,64.86,-147.8,55.99,2.84
264,Jalu,0,LY,1566591980,64,29.03,21.55,79.63,16.46
265,Misratah,0,LY,1566591981,74,32.38,15.09,80.53,15.88
266,Porto Novo,40,BR,1566591981,60,-23.68,-45.44,68.0,9.17
267,Carauari,39,BR,1566591981,42,-4.88,-66.9,92.77,3.78
268,Kuytun,100,RU,1566591981,93,54.34,101.51,57.31,7.09
269,Antofagasta,40,CL,1566591854,72,-23.65,-70.4,59.0,12.75
270,Saint-Augustin,75,CA,1566591857,43,45.63,-73.98,73.99,11.41
271,Lishu,0,CN,1566591982,94,43.31,124.32,58.39,2.98
272,Brownfield,90,US,1566591982,40,33.18,-102.27,96.01,10.29
273,Nova Olimpia,2,BR,1566591983,21,-14.8,-57.29,94.75,5.06
274,Lanzhou,90,CN,1566591983,100,36.06,103.82,59.0,2.24
275,Alofi,40,NU,1566591863,83,-19.06,-169.92,78.8,9.17
276,Hongjiang,4,CN,1566591984,89,27.21,109.83,72.61,2.57
277,Tottori,31,JP,1566591843,81,35.5,134.23,69.37,4.09
278,Amherst,40,US,1566591984,43,42.98,-78.8,75.99,9.17
279,Muisne,75,EC,1566591985,78,0.61,-80.02,82.4,11.41
280,Constitucion,40,MX,1566591688,36,23.99,-104.67,79.0,5.82
281,West Bay,90,CA,1566591986,77,49.34,-123.21,66.99,4.7
282,Coahuayana,19,MX,1566591873,64,18.62,-100.35,85.75,2.51
283,Bambanglipuro,84,ID,1566591986,86,-7.95,110.28,74.05,14.36
284,Chivacoa,40,VE,1566591986,45,10.16,-68.9,87.8,11.41
285,Egvekinot,91,RU,1566591987,63,66.32,-179.17,50.65,4.43
286,Jalalabad,75,AF,1566591987,48,34.43,70.46,82.4,0.49
287,Dingle,100,PH,1566591837,90,11.0,122.67,74.59,7.38
288,Husavik,49,CA,1566591988,31,50.56,-96.99,80.01,5.01
289,Kaoma,0,ZM,1566591988,38,-14.8,24.8,58.21,6.42
290,Tasiilaq,100,GL,1566591850,75,65.61,-37.64,42.8,4.7
291,North Bend,1,US,1566591989,72,43.41,-124.22,79.0,25.28
292,Kruisfontein,0,ZA,1566591874,93,-34.0,24.73,53.89,3.91
293,Jutai,37,BR,1566591990,86,-1.71,-47.89,78.01,3.44
294,Mount Isa,0,AU,1566591838,48,-20.73,139.49,44.6,5.82
295,Hithadhoo,67,MV,1566591848,68,-0.6,73.08,82.69,7.29
296,Tazovskiy,100,RU,1566591990,87,67.47,78.7,43.99,6.67
297,East Wenatchee Bench,1,US,1566591990,36,47.43,-120.28,82.0,4.7
298,Riyadh,0,SA,1566591764,15,24.63,46.72,91.4,4.7
299,Faanui,0,PF,1566591826,73,-16.48,-151.75,78.19,10.78
300,Puerto del Rosario,1,ES,1566591991,88,28.5,-13.86,77.0,17.22
301,Dakar,40,SN,1566591991,78,14.69,-17.45,82.4,9.17
302,Beringovskiy,46,RU,1566591992,56,63.05,179.32,54.61,2.71
303,Zhigansk,39,RU,1566591992,95,66.77,123.37,50.11,3.83
304,Sorland,75,NO,1566591993,87,67.67,12.69,51.8,12.75
305,Paamiut,0,GL,1566591993,86,61.99,-49.67,41.29,11.07
306,Tabou,92,CI,1566591994,92,4.42,-7.36,73.87,5.97
307,Tsiroanomandidy,100,MG,1566591994,67,-18.77,46.05,68.65,3.53
308,Verkhovazhye,59,RU,1566591994,95,60.75,42.05,50.47,4.52
309,Lakheri,32,IN,1566591994,72,25.67,76.19,81.07,4.56
310,Orumiyeh,0,IR,1566591995,21,37.55,45.08,71.6,6.93
311,Magistralnyy,88,RU,1566591995,77,56.17,107.45,54.43,4.14
312,Kodiak,40,US,1566591856,54,39.95,-94.76,82.99,12.75
313,Sciacca,20,IT,1566591753,88,37.51,13.08,82.4,3.36
314,Mandurah,0,AU,1566591996,100,-32.55,115.7,44.01,5.82
315,Saint-Paul,0,FR,1566591996,52,45.22,1.9,70.0,4.7
316,Mahanoro,15,MG,1566591996,95,-19.9,48.8,60.73,2.82
317,Petropavlovsk-Kamchatskiy,90,RU,1566591996,100,53.05,158.65,51.8,0.69
318,Los Llanos de Aridane,20,ES,1566591997,83,28.66,-17.92,75.99,14.99
319,Kharp,81,RU,1566591997,93,66.82,65.8,46.69,3.49
320,Namtsy,20,RU,1566591997,93,62.72,129.66,51.8,2.24
321,Miri,61,NG,1566591998,91,10.31,9.75,70.27,2.19
322,Monkey Bay,0,MW,1566591998,57,-14.08,34.91,68.29,13.65
323,Corum,0,TR,1566591998,73,38.8,29.89,68.0,17.0
324,Petrolina,20,BR,1566591751,27,-9.38,-40.5,87.8,16.11
325,Vagur,100,FO,1566591999,95,61.47,-6.81,52.45,25.66
326,Hot Springs,1,US,1566591769,70,34.5,-93.06,88.0,9.17
327,Georgetown,20,GY,1566591999,70,6.8,-58.16,86.0,6.93
328,Ponta do Sol,20,BR,1566591821,53,-20.63,-46.0,68.11,6.55
329,Carutapera,29,BR,1566592000,85,-1.2,-46.02,77.83,6.46
330,Poum,0,MK,1566592000,46,41.28,20.71,73.4,8.05
331,Shache,63,CN,1566592001,94,38.42,77.24,68.0,1.01
332,Andros Town,75,BS,1566592001,88,24.73,-77.79,80.6,11.41
333,Sokoni,63,CD,1566592001,46,-12.89,28.78,62.01,5.99
334,Atar,0,MR,1566592002,35,20.52,-13.05,95.47,16.15
335,Reinosa,0,ES,1566592002,83,43.0,-4.14,75.0,2.24
336,Ahipara,3,NZ,1566591887,100,-35.17,173.16,48.0,27.0
337,Thunder Bay,75,CA,1566592002,59,48.41,-89.26,72.0,8.05
338,Kangaatsiaq,0,GL,1566592002,80,68.31,-53.46,43.09,11.54
339,Rio Verde de Mato Grosso,61,BR,1566591823,30,-18.92,-54.84,85.75,11.21
340,Skjervoy,75,NO,1566592003,93,70.03,20.97,48.2,8.05
341,Na Wa,100,TH,1566592003,97,17.49,104.1,74.59,2.51
342,Staryy Nadym,100,RU,1566592004,90,65.61,72.68,52.27,11.25
343,Vryburg,0,ZA,1566592004,46,-26.96,24.73,48.31,3.96
344,Borogontsy,30,RU,1566592005,94,62.67,131.17,54.25,3.09
345,Shitanjing,0,CN,1566592005,67,39.23,106.34,61.81,5.19
346,Tommot,21,RU,1566592005,95,58.97,126.27,51.91,1.57
347,Diffa,88,NE,1566592005,50,13.32,12.61,86.29,9.22
348,Lorengau,0,PG,1566592006,81,-2.02,147.27,80.35,12.06
349,Teluknaga,20,ID,1566592006,69,-6.1,106.64,77.0,5.82
350,Bandarbeyla,82,SO,1566592006,68,9.49,50.81,78.37,17.76
351,Dunedin,33,NZ,1566591855,61,-45.87,170.5,46.99,3.0
352,Baghdad,0,IQ,1566591844,28,33.3,44.38,86.0,6.93
353,Srivardhan,81,IN,1566592007,85,18.03,73.02,78.01,5.26
354,Vila Franca do Campo,20,PT,1566592007,88,37.72,-25.43,75.2,4.7
355,Sibu,75,MY,1566592007,94,2.29,111.83,75.2,3.36
356,Algiers,75,US,1566592008,66,29.94,-90.04,87.8,4.7
357,Oistins,40,BB,1566592008,66,13.07,-59.53,86.0,11.41
358,Khani,75,GE,1566592009,94,41.96,42.96,73.4,3.36
359,Uspenka,97,UA,1566592009,65,48.39,39.16,73.69,9.84
360,Saint George,0,GR,1566591825,47,39.45,22.34,84.0,5.82
361,Saint Anthony,1,US,1566592009,28,43.97,-111.68,78.01,12.28
362,Bozhou,38,CN,1566592010,74,33.86,115.78,72.61,4.14
363,Lincoln,0,GB,1566592010,64,53.23,-0.54,71.6,5.82
364,Ust-Nera,100,RU,1566592011,77,64.57,143.24,55.69,4.43
365,Chuy,0,UY,1566591829,82,-33.69,-53.46,49.21,4.45
366,Lata,6,IN,1566592011,93,30.78,78.62,40.57,0.98
367,Khor,100,RU,1566592011,95,47.88,134.96,55.51,7.36
368,Trincomalee,100,LK,1566591886,71,8.58,81.23,78.91,10.4
369,Pisco,0,PE,1566592012,30,-13.71,-76.2,71.6,10.29
370,Nizhnevartovsk,0,RU,1566592012,87,60.93,76.58,59.0,6.71
371,Port Keats,23,AU,1566592012,61,-14.25,129.55,64.15,7.38
372,Atasu,0,KZ,1566592013,66,48.68,71.64,57.31,5.41
